model	variant	ctx	greenboost	suite	status	prompt_tps	response_tps	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	confidence_grade	run_dir
Qwen 9B	baseline	2048	on	core_matrix_v1_ctx2048	ok			4.2369	6235	5365	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T210817Z_qwen9b-baseline-longctx-2048
Qwen 9B	tq1_k	2048	on	core_matrix_v1_ctx2048	ok			4.2288	6241	5371	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T210844Z_qwen9b-tq1-longctx-2048
Qwen 9B	tq3_k	2048	on	core_matrix_v1_ctx2048	ok			4.2670	6233	5363	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T210911Z_qwen9b-tq3-longctx-2048
Qwen 9B	sq3_k	2048	on	core_matrix_v1_ctx2048	ok			4.2670	6233	5363	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T210938Z_qwen9b-sq3-longctx-2048
Qwen 9B	planar3_k	2048	on	core_matrix_v1_ctx2048	ok			4.2249	6249	5379	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T211005Z_qwen9b-planar3-longctx-2048
Qwen 9B	iso3_k	2048	on	core_matrix_v1_ctx2048	ok			4.2249	6249	5379	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T211033Z_qwen9b-iso3-longctx-2048
Qwen 27B	baseline	2048	on	core_matrix_v1_ctx2048	failed			7.5664	6611	5741	20260410_long_context_corpus_repeat8.txt	8	F	runs/20260410T211100Z_qwen27b-baseline-longctx-2048
Qwen 27B	tq1_k	2048	on	core_matrix_v1_ctx2048	ok			4.0179	6625	5755	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T211524Z_qwen27b-tq1-longctx-2048
Qwen 27B	tq3_k	2048	on	core_matrix_v1_ctx2048	ok			4.0190	6619	5749	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T211949Z_qwen27b-tq3-longctx-2048
Qwen 27B	sq3_k	2048	on	core_matrix_v1_ctx2048	ok			4.0197	6956	6086	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T212414Z_qwen27b-sq3-longctx-2048
Qwen 27B	planar3_k	2048	on	core_matrix_v1_ctx2048	ok			4.0129	6759	5889	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T212839Z_qwen27b-planar3-longctx-2048
Qwen 27B	iso3_k	2048	on	core_matrix_v1_ctx2048	ok			4.0129	6759	5775	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T213327Z_qwen27b-iso3-longctx-2048
Qwen 122B	tq1_k	2048	on	core_matrix_v1_ctx2048	ok			3.4615	8145	7161	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T213814Z_qwen122b-tq1-longctx-2048
Qwen 122B	tq3_k	2048	on	core_matrix_v1_ctx2048	ok			3.4592	8143	7159	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T214900Z_qwen122b-tq3-longctx-2048
Qwen 122B	sq3_k	2048	on	core_matrix_v1_ctx2048	ok			3.4592	8143	7159	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T215945Z_qwen122b-sq3-longctx-2048
Qwen 122B	iso3_k	2048	on	core_matrix_v1_ctx2048	ok			3.4578	8155	7171	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T221028Z_qwen122b-iso3-longctx-2048
Gemma 4 31B	tq1_k	2048	on	core_matrix_v1_ctx2048	ok			97.3686	5551	4567	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T222111Z_gemma4-31b-tq1-longctx-2048
Gemma 4 31B	tq3_k	2048	on	core_matrix_v1_ctx2048	ok			96.6882	5551	4567	20260410_long_context_corpus_repeat8.txt	8	B	runs/20260410T223258Z_gemma4-31b-tq3-longctx-2048
